Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Jul 10 2017,2525.25,2537.16,2321.13,2372.56,1111200000,41509000000,2429.14
Jul 09 2017,2572.61,2635.49,2517.59,2518.44,527856000,42283200000,2576.54
Jul 08 2017,2520.27,2571.34,2492.31,2571.34,733330000,41417700000,2531.82
Jul 07 2017,2608.59,2916.14,2498.87,2518.66,917412000,42864200000,2707.51
Jul 06 2017,2608.10,2616.72,2581.69,2608.56,761957000,42851400000,2599.20
Jul 05 2017,2602.87,2622.65,2538.55,2601.99,941566000,42760800000,2580.60
Jul 04 2017,2561.00,2631.59,2559.35,2601.64,985516000,42067900000,2595.47
Jul 03 2017,2498.56,2595.00,2480.47,2564.06,964112000,41037200000,2537.73
Jul 02 2017,2436.40,2514.28,2394.84,2506.47,803747000,40010500000,2454.56
Jul 01 2017,2492.60,2515.27,2419.23,2434.55,779914000,40928200000,2467.25
Jun 30 2017,2539.24,2559.25,2478.43,2480.84,860273000,41689100000,2518.84
Jun 29 2017,2567.56,2588.83,2510.48,2539.32,949979000,42150300000,2549.65
Jun 28 2017,2553.03,2603.98,2484.42,2574.79,1183870000,41906700000,2544.20
Jun 27 2017,2478.45,2552.45,2332.99,2552.45,1489790000,40677900000,2442.72
Jun 26 2017,2590.57,2615.25,2376.29,2478.45,1663280000,42514000000,2495.77
Jun 25 2017,2607.25,2682.26,2552.12,2589.41,1161100000,42783800000,2617.19
Jun 24 2017,2738.52,2757.94,2583.19,2608.72,982750000,44932900000,2670.57
Jun 23 2017,2707.34,2765.17,2706.37,2744.91,961319000,44415900000,2735.77
Jun 22 2017,2691.03,2723.74,2642.36,2705.41,1097940000,44143700000,2683.05
Jun 21 2017,2709.43,2772.01,2660.40,2689.10,1626580000,44440800000,2716.20
Jun 20 2017,2591.26,2763.45,2589.82,2721.79,1854190000,42498000000,2676.64
Jun 19 2017,2549.03,2662.85,2549.03,2589.60,1446840000,41800600000,2605.94
Jun 18 2017,2655.35,2662.10,2516.33,2548.29,1178660000,43539300000,2589.22
Jun 17 2017,2514.01,2685.19,2484.96,2655.88,1534510000,41217200000,2585.07
Jun 16 2017,2469.57,2539.92,2385.15,2518.56,1195190000,40484100000,2462.53
Jun 15 2017,2499.58,2534.71,2212.96,2464.58,2026260000,40971300000,2373.84
Jun 14 2017,2716.88,2786.83,2412.94,2506.37,1696560000,44528300000,2599.89
Jun 13 2017,2680.91,2789.04,2650.38,2717.02,1781200000,43934100000,2719.71
Jun 12 2017,2953.22,2997.26,2518.56,2659.63,2569530000,48391200000,2757.91
Jun 11 2017,2942.41,2996.60,2840.53,2958.11,1752400000,48208700000,2918.57
Jun 10 2017,2828.14,2950.99,2746.55,2947.71,2018890000,46331400000,2848.77
Jun 09 2017,2807.44,2901.71,2795.62,2823.81,1348950000,45987100000,2848.66
Jun 08 2017,2720.49,2815.30,2670.95,2805.62,1281170000,44557100000,2743.12
Jun 07 2017,2869.38,2869.38,2700.56,2732.16,1517710000,46989800000,2784.97
Jun 06 2017,2690.84,2999.91,2690.84,2863.20,2089610000,44061000000,2845.38
Jun 05 2017,2512.40,2686.81,2510.22,2686.81,1369310000,41133900000,2598.51
Jun 04 2017,2547.79,2585.89,2452.54,2511.81,1355120000,41708200000,2519.22
Jun 03 2017,2493.72,2581.91,2423.57,2515.35,1514950000,40817100000,2502.74
Jun 02 2017,2404.03,2488.55,2373.32,2488.55,1317030000,39344600000,2430.94
Jun 01 2017,2288.33,2448.39,2288.33,2407.88,1653180000,37446200000,2368.36
May 31 2017,2187.19,2311.08,2145.57,2286.41,1544830000,35786700000,2228.32
May 30 2017,2255.36,2301.96,2124.57,2175.47,1443970000,36897000000,2213.27
May 29 2017,2159.43,2307.05,2107.17,2255.61,994625000,35323500000,2207.11
May 28 2017,2054.08,2267.34,2054.08,2155.80,1147140000,33595900000,2160.71
May 27 2017,2196.27,2260.20,1855.83,2038.87,1700480000,35917100000,2058.01
May 26 2017,2320.89,2573.79,2071.99,2202.42,1763480000,37950600000,2322.89
May 25 2017,2446.24,2763.71,2285.30,2304.98,2406700000,39995400000,2524.51
May 24 2017,2321.37,2523.72,2321.37,2443.64,1725380000,37949200000,2422.55
May 23 2017,2191.56,2320.82,2178.50,2320.42,1378750000,35822600000,2249.66
May 22 2017,2043.19,2303.90,2017.87,2173.40,1942220000,33393600000,2160.89
May 21 2017,2067.03,2119.08,2037.50,2041.20,1147860000,33779400000,2078.29
May 20 2017,1984.24,2084.73,1974.92,2084.73,961336000,32422400000,2029.83
May 19 2017,1897.37,2004.52,1890.25,1987.71,1157290000,30999000000,1947.38
May 18 2017,1818.70,1904.48,1807.12,1888.65,894321000,29710500000,1855.80
May 17 2017,1726.73,1864.05,1661.91,1839.09,1064730000,28204800000,1762.98
May 16 2017,1741.70,1785.94,1686.54,1734.45,959045000,28446300000,1736.24
May 15 2017,1808.44,1812.80,1708.54,1738.43,731529000,29532600000,1760.67
May 14 2017,1800.86,1831.42,1776.62,1808.91,437196000,29405100000,1804.02
May 13 2017,1723.12,1812.99,1651.08,1804.91,579635000,28132300000,1732.03
May 12 2017,1845.76,1856.15,1694.01,1724.24,740984000,30131100000,1775.08
May 11 2017,1780.37,1873.93,1755.35,1848.57,799490000,29060600000,1814.64
May 10 2017,1756.52,1788.44,1719.10,1787.13,915723000,28668100000,1753.77
